file,setup_before_s,setup_after_s,setup_delta_s,call_before_s,call_after_s,call_delta_s
tests/dataloader/test_datasets.py,7.34,1.02,-6.32,16.05,16.73,0.68
tests/core/operations/test_map.py,2.73,0.62,-2.11,0.11,0.12,0.01
tests/core/operations/test_aggregations.py,2.58,1.16,-1.42,1.83,2.39,0.56
tests/core/query/test_relational_query.py,1.77,1.24,-0.53,0.18,0.22,0.04
tests/core/operations/test_rasterize_bins.py,0.0,0.0,0.0,0.73,0.9,0.17
tests/core/operations/test_vectorize.py,0.0,0.0,0.0,6.37,6.9,0.53
tests/core/query/test_relational_query_match_sdata_to_table.py,0.0,0.0,0.0,0.41,0.47,0.06
tests/core/test_data_extent.py,0.0,0.0,0.0,0.47,0.66,0.19
tests/datasets/test_datasets.py,0.0,0.0,0.0,0.67,0.69,0.02
tests/io/test_attrs_io.py,0.0,0.0,0.0,0.03,0.03,0.0
tests/io/test_metadata.py,1.16,1.16,0.0,11.31,11.31,0.0
tests/io/test_multi_table.py,0.72,0.72,0.0,3.16,3.13,-0.03
tests/io/test_pyramids_performance.py,0.23,0.23,0.0,0.44,0.45,0.01
tests/io/test_readwrite.py,6.03,6.03,0.0,56.79,57.13,0.34
tests/io/test_utils.py,0.14,0.14,0.0,0.93,1.16,0.23
tests/models/test_pyramids_utils.py,0.0,0.0,0.0,0.14,0.15,0.01
tests/transformations/test_transformations.py,0.04,0.04,0.0,1.02,1.05,0.03
tests/transformations/test_transformations_utils.py,0.09,0.09,0.0,0.01,0.01,0.0
tests/utils/test_sanitize.py,0.09,0.09,0.0,0.0,0.0,0.0
tests/utils/test_testing.py,0.09,0.09,0.0,0.15,0.17,0.02
tests/core/operations/test_rasterize.py,0.08,0.09,0.01,5.93,6.35,0.42
tests/core/test_centroids.py,0.68,0.69,0.01,1.11,1.14,0.03
tests/core/test_deepcopy.py,0.08,0.09,0.01,0.19,0.2,0.01
tests/io/test_format.py,0.41,0.42,0.01,6.41,6.33,-0.08
tests/models/test_models.py,3.75,3.76,0.01,7.62,7.79,0.17
tests/utils/test_element_utils.py,0.08,0.09,0.01,0.45,0.48,0.03
tests/core/query/test_spatial_query.py,3.33,3.39,0.06,3.8,3.91,0.11
tests/core/operations/test_transform.py,1.41,1.48,0.07,3.95,3.98,0.03
tests/core/operations/test_spatialdata_operations.py,0.99,1.1,0.11,4.99,5.58,0.59
tests/core/test_get_attrs.py,2.42,2.54,0.12,0.25,0.25,0.0
tests/io/test_partial_read.py,8.54,8.71,0.17,1.0,1.02,0.02
