file,total_s,call_s,setup_s,teardown_s,n_tests,avg_call_s
tests/io/test_readwrite.py,62.82,56.79,6.03,0.0,103,0.551
tests/dataloader/test_datasets.py,23.39,16.05,7.34,0.0,49,0.328
tests/io/test_metadata.py,12.47,11.31,1.16,0.0,14,0.808
tests/models/test_models.py,11.37,7.62,3.75,0.0,172,0.044
tests/io/test_partial_read.py,9.54,1.0,8.54,0.0,20,0.05
tests/core/query/test_spatial_query.py,7.13,3.8,3.33,0.0,171,0.022
tests/io/test_format.py,6.82,6.41,0.41,0.0,10,0.641
tests/core/operations/test_vectorize.py,6.37,6.37,0.0,0.0,7,0.91
tests/core/operations/test_rasterize.py,6.01,5.93,0.08,0.0,7,0.847
tests/core/operations/test_spatialdata_operations.py,5.98,4.99,0.99,0.0,18,0.277
tests/core/operations/test_transform.py,5.36,3.95,1.41,0.0,20,0.197
tests/core/operations/test_aggregations.py,4.41,1.83,2.58,0.0,50,0.037
tests/io/test_multi_table.py,3.88,3.16,0.72,0.0,9,0.351
tests/core/operations/test_map.py,2.84,0.11,2.73,0.0,7,0.016
tests/core/test_get_attrs.py,2.67,0.25,2.42,0.0,1,0.25
tests/core/query/test_relational_query.py,1.95,0.18,1.77,0.0,10,0.018
tests/core/test_centroids.py,1.79,1.11,0.68,0.0,26,0.043
tests/io/test_utils.py,1.07,0.93,0.14,0.0,4,0.232
tests/transformations/test_transformations.py,1.06,1.02,0.04,0.0,5,0.204
tests/core/operations/test_rasterize_bins.py,0.73,0.73,0.0,0.0,19,0.038
tests/datasets/test_datasets.py,0.67,0.67,0.0,0.0,1,0.67
tests/io/test_pyramids_performance.py,0.67,0.44,0.23,0.0,4,0.11
tests/utils/test_element_utils.py,0.53,0.45,0.08,0.0,1,0.45
tests/core/test_data_extent.py,0.47,0.47,0.0,0.0,11,0.043
tests/core/query/test_relational_query_match_sdata_to_table.py,0.41,0.41,0.0,0.0,2,0.205
tests/core/test_deepcopy.py,0.27,0.19,0.08,0.0,1,0.19
tests/utils/test_testing.py,0.88,0.15,0.09,0.64,1,0.15
tests/models/test_pyramids_utils.py,0.14,0.14,0.0,0.0,4,0.035
tests/transformations/test_transformations_utils.py,0.1,0.01,0.09,0.0,1,0.01
tests/utils/test_sanitize.py,0.09,0.0,0.09,0.0,0,0
tests/io/test_attrs_io.py,0.03,0.03,0.0,0.0,3,0.01
